token	token_ids	count	POS
absorption	16326	1	['NOUN']
alongside	4077	16	['ADP']
and	1998	5793	['CCONJ']
are	2024	524	['AUX']
at	2012	1238	['ADP']
chariot	23507	2	['NOUN']
charted	12568	2	['VERB']
competitors	10159	3	['NOUN']
era	3690	63	['NOUN']
farms	8623	3	['NOUN']
flaw	28450	2	['NOUN']
fled	6783	4	['VERB']
fleet	4170	48	['NOUN', 'PROPN']
he	2002	1329	['PRON']
high	2152	142	['ADJ']
hosts	6184	7	['VERB']
in	1999	5074	['ADP']
introduce	8970	1	['VERB']
is	2003	1137	['AUX']
korean	4759	84	['PROPN', 'ADJ']
migrated	13447	1	['VERB']
named	2315	87	['VERB']
on	2006	1900	['ADP']
ought	11276	2	['AUX']
parliamentary	5768	1	['ADJ']
rush	5481	3	['NOUN']
satisfied	8510	2	['ADJ']
screened	12238	1	['VERB']
seizure	18634	1	['NOUN']
stitches	25343	1	['NOUN']
straight	3442	30	['ADJ']
sung	7042	1	['VERB']
television	2547	33	['NOUN']
temporarily	8184	11	['ADV']
to	2000	4766	['ADP', 'PART']
translation	5449	3	['NOUN']
tripped	21129	1	['VERB']
und	6151	1	['VERB']
was	2001	2575	['AUX']
were	2020	1085	['AUX']
